route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
68840,1,1,LINE 1 (YONGE-UNIVERSITY),,1,,D5C82B,000000
68631,1,10,VAN HORNE,,3,,FF0000,FFFFFF
68632,1,100,FLEMINGDON PARK,,3,,FF0000,FFFFFF
68633,1,101,DOWNSVIEW PARK,,3,,FF0000,FFFFFF
68634,1,102,MARKHAM RD.,,3,,FF0000,FFFFFF
68635,1,104,FAYWOOD,,3,,FF0000,FFFFFF
68636,1,105,DUFFERIN NORTH,,3,,FF0000,FFFFFF
68637,1,106,SENTINEL,,3,,FF0000,FFFFFF
68638,1,107,YORK UNIVERSITY HEIGHTS,,3,,FF0000,FFFFFF
68639,1,108,DRIFTWOOD,,3,,FF0000,FFFFFF
68640,1,109,RANEE,,3,,FF0000,FFFFFF
68641,1,11,BAYVIEW,,3,,FF0000,FFFFFF
68642,1,110,ISLINGTON SOUTH,,3,,FF0000,FFFFFF
68643,1,111,EAST MALL,,3,,FF0000,FFFFFF
68644,1,112,WEST MALL,,3,,FF0000,FFFFFF
68645,1,113,DANFORTH ROAD,,3,,FF0000,FFFFFF
68646,1,115,SILVER HILLS,,3,,FF0000,FFFFFF
68647,1,116,MORNINGSIDE,,3,,FF0000,FFFFFF
68648,1,118,THISTLE DOWN,,3,,FF0000,FFFFFF
68649,1,119,TORBARRIE,,3,,FF0000,FFFFFF
68650,1,12,KINGSTON ROAD,,3,,FF0000,FFFFFF
68651,1,120,CALVINGTON,,3,,FF0000,FFFFFF
68652,1,121,ESPLANADE-RIVER,,3,,FF0000,FFFFFF
68653,1,122,GRAYDON HALL,,3,,FF0000,FFFFFF
68654,1,123,SHERWAY,,3,,FF0000,FFFFFF
68655,1,124,SUNNYBROOK,,3,,FF0000,FFFFFF
68656,1,125,DREWRY,,3,,FF0000,FFFFFF
68657,1,126,CHRISTIE,,3,,FF0000,FFFFFF
68658,1,127,DAVENPORT,,3,,FF0000,FFFFFF
68659,1,129,MCCOWAN NORTH,,3,,FF0000,FFFFFF
68660,1,13,AVENUE ROAD,,3,,FF0000,FFFFFF
68661,1,130,MIDDLEFIELD,,3,,FF0000,FFFFFF
68662,1,131,NUGGET,,3,,FF0000,FFFFFF
68663,1,132,MILNER,,3,,FF0000,FFFFFF
68664,1,133,NEILSON,,3,,FF0000,FFFFFF
68665,1,134,PROGRESS,,3,,FF0000,FFFFFF
68666,1,135,GERRARD,,3,,FF0000,FFFFFF
68667,1,14,GLENCAIRN,,3,,FF0000,FFFFFF
68668,1,15,EVANS,,3,,FF0000,FFFFFF
68669,1,16,McCOWAN,,3,,FF0000,FFFFFF
68670,1,160,BATHURST NORTH,,3,,FF0000,FFFFFF
68671,1,161,ROGERS ROAD,,3,,FF0000,FFFFFF
68672,1,162,LAWRENCE-DONWAY,,3,,FF0000,FFFFFF
68673,1,165,WESTON RD. NORTH,,3,,FF0000,FFFFFF
68674,1,167,PHARMACY NORTH,,3,,FF0000,FFFFFF
68675,1,168,SYMINGTON,,3,,FF0000,FFFFFF
68676,1,169,HUNTINGWOOD,,3,,FF0000,FFFFFF
68677,1,17,BIRCHMOUNT,,3,,FF0000,FFFFFF
68678,1,171,MOUNT DENNIS,,3,,FF0000,FFFFFF
68679,1,176,MIMICO GO,,3,,FF0000,FFFFFF
68680,1,189,STOCKYARDS,,3,,FF0000,FFFFFF
68681,1,19,BAY,,3,,FF0000,FFFFFF
68841,1,2,LINE 2 (BLOOR - DANFORTH),,1,,008000,FFFFFF
68682,1,20,CLIFFSIDE,,3,,FF0000,FFFFFF
68683,1,21,BRIMLEY,,3,,FF0000,FFFFFF
68684,1,22,COXWELL,,3,,FF0000,FFFFFF
68685,1,23,DAWES,,3,,FF0000,FFFFFF
68686,1,24,VICTORIA PARK,,3,,FF0000,FFFFFF
68687,1,25,DON MILLS,,3,,FF0000,FFFFFF
68688,1,26,DUPONT,,3,,FF0000,FFFFFF
68689,1,28,BAYVIEW SOUTH,,3,,FF0000,FFFFFF
68690,1,29,DUFFERIN,,3,,FF0000,FFFFFF
68842,1,3,LINE 3 (SCARBOROUGH),,1,,108BEF,FFFFFF
68691,1,30,HIGH PARK,,3,,FF0000,FFFFFF
68692,1,300,BLOOR-DANFORTH NIGHT BUS,,3,,0000FF,FFFFFF
